,dBA
0,53.6
1,49.7
2,59.8
3,64.0
4,54.1
5,48.7
6,60.6
7,63.4
8,50.5
9,49.1
10,59.5
11,60.5
12,55.3
13,51.3
14,58.9
15,67.6
16,55.6
17,50.6
18,59.5
19,69.9
20,46.4
21,51.9
22,61.2
23,71.0
24,46.9
25,49.7
26,60.6
27,53.8
28,47.3
29,50.9
30,60.6
31,64.2
32,46.4
33,47.3
34,59.7
35,65.4
36,46.5
37,49.3
38,59.8
39,62.4
40,46.9
41,51.6
42,61.7
43,52.8
44,46.9
45,46.7
46,62.3
47,52.8
48,46.6
49,46.1
50,59.5
51,65.2
52,46.4
53,47.9
54,59.7
55,65.4
56,54.6
57,46.2
58,61.6
59,63.5
60,56.4
61,52.4
62,59.7
63,63.9
64,55.5
65,48.4
66,59.6
67,65.0
68,52.8
69,47.2
70,59.5
71,62.6
72,49.1
73,44.9
74,60.3
75,52.4
76,57.1
77,49.2
78,59.9
79,52.5
80,46.8
81,48.0
82,63.8
83,59.5
84,46.9
85,50.2
86,70.1
87,67.4
88,54.9
89,51.5
90,70.3
91,63.8
92,49.3
93,46.4
94,57.6
95,65.0
96,53.1
97,48.1
98,70.0
99,63.8
100,47.1
101,50.8
102,65.0
103,62.3
104,46.6
105,52.7
106,68.6
107,68.6
108,46.7
109,50.7
110,65.0
111,52.5
112,50.6
113,51.5
114,62.7
115,61.0
116,47.5
117,52.7
118,63.2
119,69.9
120,51.5
121,49.9
122,61.7
123,61.0
124,54.5
125,48.3
126,60.9
127,62.2
128,52.7
129,49.0
130,62.8
131,58.3
132,47.0
133,49.2
134,63.9
135,52.4
136,46.8
137,48.5
138,65.3
139,60.4
140,46.6
141,48.9
142,62.8
143,59.4
144,47.2
145,51.2
146,60.1
147,62.9
148,55.1
149,46.9
150,61.0
151,64.0
152,52.3
153,46.7
154,60.9
155,52.2
156,48.5
157,46.1
158,60.6
159,68.9
160,48.0
161,50.9
162,60.2
163,68.2
164,50.2
165,50.4
166,60.7
167,66.2
168,48.9
169,52.1
170,61.3
171,64.5
172,47.2
173,48.3
174,61.9
175,54.1
176,47.4
177,48.5
178,61.0
179,57.3
180,47.2
181,46.7
182,59.4
183,60.7
184,48.9
185,46.7
186,60.6
187,65.6
188,47.5
189,50.2
190,59.9
191,68.8
192,51.9
193,50.8
194,59.4
195,54.1
196,54.5
197,47.8
198,60.7
199,67.3
200,54.9
201,45.9
202,62.2
203,59.3
204,53.6
205,45.1
206,62.3
207,64.8
208,51.1
209,49.6
210,59.7
211,71.3
212,50.4
213,48.6
214,61.7
215,65.7
216,46.3
217,49.0
218,61.7
219,63.8
220,46.5
221,51.4
222,61.0
223,52.2
224,46.5
225,52.2
226,59.6
227,67.1
228,46.9
229,47.9
230,59.3
231,65.1
232,48.0
233,47.8
234,59.5
235,57.6
236,46.6
237,48.5
238,59.9
239,66.3
240,47.4
241,48.6
242,60.5
243,57.7
244,50.6
245,50.2
246,60.4
247,62.0
248,53.3
249,49.9
250,58.4
251,61.8
252,46.4
253,51.3
254,58.7
255,56.4
256,46.3
257,50.0
258,60.1
259,65.1
260,46.5
261,50.1
262,60.5
263,61.6
264,46.5
265,46.4
266,60.4
267,64.1
268,46.9
269,52.0
270,62.5
271,63.4
272,47.6
273,47.2
274,60.8
275,63.5
276,46.8
277,47.6
278,63.6
279,52.7
280,54.3
281,49.0
282,61.8
283,57.4
284,46.7
285,50.9
286,62.2
287,68.7
288,48.4
289,52.7
290,63.1
291,69.3
292,46.7
293,48.9
294,62.5
295,71.7
296,54.0
297,49.8
298,63.4
299,58.0
300,46.9
301,49.8
302,62.7
303,62.1
304,46.8
305,48.8
306,62.1
307,52.5
308,46.3
309,48.7
310,59.9
311,57.8
312,46.8
313,51.0
314,60.4
315,62.4
316,46.6
317,49.4
318,62.6
319,68.6
320,46.8
321,48.9
322,63.3
323,70.8
324,46.5
325,49.7
326,58.7
327,53.3
328,51.5
329,51.8
330,60.6
331,52.9
332,46.5
333,52.1
334,60.8
335,64.1
336,46.4
